distrito,alquiler_m2,compraventas,compradores_extranjeros_pct,poblacion_extranjera_pct,inquilinos_extranjeros_estimado
Ciutat Vella,15.554292929292927,1540,42.6,63.7,44.9085
Sarrià-Sant Gervasi,15.384615384615385,2480,11.5,15.0,10.575
Les Corts,14.911042311661506,1196,12.9,18.1,12.7605
Gràcia,14.387837837837838,1649,22.0,22.0,15.51
Eixample,14.265985772357723,4425,27.8,30.9,21.784499999999998
Sants-Montjuïc,13.497991967871485,2703,26.0,31.7,22.348499999999998
Sant Martí,13.34871794871795,3291,30.9,27.7,19.528499999999998
Horta-Guinardó,12.672413793103447,2091,24.0,24.0,16.919999999999998
Sant Andreu,12.311703530844156,1918,25.0,22.0,15.51
Nou Barris,12.027027027027026,1916,28.0,32.0,22.56
