Nom_Barri,n,rmse,mae,sesgo,mape,real_medio,pred_medio
la Vila Olímpica del Poblenou,36.0,8.69,7.669,-1.869,60.73,11.08,12.95
el Parc i la Llacuna del Poblenou,36.0,15.931,11.045,-1.612,58.08,21.53,23.14
la Vall d'Hebron,36.0,3.259,3.078,-1.457,56.78,1.36,2.82
Sant Andreu,36.0,20.861,16.593,5.398,56.12,63.11,57.71
"Vallvidrera, el Tibidabo i les Planes",36.0,2.814,2.758,-1.827,54.97,0.83,2.66
la Nova Esquerra de l'Eixample,36.0,30.479,24.294,16.449,53.52,76.86,60.41
Provençals del Poblenou,36.0,19.272,10.898,0.52,52.37,22.69,22.17
la Sagrada Família,36.0,24.444,17.813,8.408,51.2,65.0,56.59
Sarrià,36.0,20.143,13.916,1.347,50.92,32.44,31.1
les Tres Torres,36.0,12.402,9.832,-0.177,50.22,22.11,22.29
Diagonal Mar i el Front Marítim del Poblenou,36.0,13.377,10.803,0.981,48.5,28.19,27.21
la Vila de Gràcia,36.0,17.609,13.746,4.453,47.98,56.61,52.16
Montbau,36.0,3.03,2.967,-1.709,47.94,1.28,2.99
el Congrés i els Indians,36.0,19.392,9.516,1.066,47.22,17.97,16.91
Vallcarca i els Penitents,36.0,9.078,7.22,-0.829,46.98,16.75,17.58
Sant Gervasi - Galvany,36.0,42.188,31.176,21.631,45.54,82.75,61.12
les Corts,36.0,23.346,15.591,4.205,45.43,57.25,53.05
la Marina del Prat Vermell,36.0,50.171,18.195,9.041,44.99,19.0,9.96
la Dreta de l'Eixample,36.0,27.449,20.349,13.506,44.74,74.03,60.52
Canyelles,36.0,3.338,3.192,-0.932,43.25,2.5,3.43
la Verneda i la Pau,36.0,29.424,14.112,6.685,43.16,34.25,27.57
la Maternitat i Sant Ramon,36.0,9.624,7.865,-0.978,42.01,22.72,23.7
la Bordeta,36.0,24.062,13.582,5.83,40.28,29.22,23.39
Hostafrancs,36.0,9.558,7.342,0.837,40.05,17.86,17.02
les Roquetes,36.0,6.751,5.068,0.605,39.76,18.47,17.87
Pedralbes,36.0,7.639,6.22,-1.033,39.46,17.17,18.2
la Font d'en Fargues,36.0,6.913,5.488,-1.485,37.43,8.08,9.57
Vilapicina i la Torre Llobeta,36.0,14.292,9.015,2.419,37.28,27.42,25.0
el Camp d'en Grassot i Gràcia Nova,36.0,12.592,9.732,1.541,36.91,38.19,36.65
la Guineueta,36.0,5.819,4.724,-0.689,36.72,9.78,10.47
la Sagrera,36.0,18.162,11.915,4.299,36.48,32.36,28.06
l'Antiga Esquerra de l'Eixample,36.0,17.457,13.276,3.288,36.13,55.25,51.96
Verdun,36.0,5.656,4.631,-0.599,36.1,13.42,14.02
la Font de la Guatlla,36.0,5.049,4.085,-1.56,35.83,8.81,10.37
Porta,36.0,8.19,6.567,-0.094,35.46,20.33,20.43
la Teixonera,36.0,7.446,5.982,0.039,35.38,14.19,14.16
"Sant Pere, Santa Caterina i la Ribera",36.0,9.921,7.569,0.189,35.18,31.83,31.64
Sant Genís dels Agudells,36.0,6.34,4.599,-0.694,35.05,4.92,5.61
la Trinitat Nova,36.0,4.91,3.929,-1.64,33.86,8.17,9.81
el Poblenou,36.0,18.949,14.816,0.22,33.24,49.0,48.78
el Barri Gòtic,36.0,8.522,6.753,0.538,32.73,23.58,23.04
el Coll,36.0,5.023,4.142,-2.246,32.67,4.75,7.0
el Camp de l'Arpa del Clot,36.0,11.751,9.43,0.846,32.54,41.5,40.65
Sant Martí de Provençals,36.0,7.401,5.659,-0.186,32.51,20.78,20.96
el Raval,36.0,19.799,15.304,6.184,32.25,59.67,53.48
el Clot,36.0,8.707,6.857,-0.434,32.17,23.67,24.1
Sants - Badal,36.0,10.197,8.377,1.287,32.13,28.33,27.05
Sant Gervasi - la Bonanova,36.0,14.117,10.882,2.405,31.7,32.44,30.04
la Prosperitat,36.0,10.561,8.071,2.401,31.69,29.08,26.68
la Barceloneta,36.0,6.941,5.194,-2.502,31.52,17.86,20.36
Navas,36.0,10.274,7.478,0.305,31.38,21.5,21.19
el Guinardó,36.0,12.74,10.315,3.359,31.3,44.31,40.95
la Salut,36.0,8.299,5.488,-0.418,31.12,13.83,14.25
el Bon Pastor,36.0,6.438,5.031,0.153,31.09,12.22,12.07
la Trinitat Vella,36.0,5.403,4.005,-0.004,29.95,12.69,12.7
Can Baró,36.0,5.322,4.097,-1.798,28.39,7.53,9.33
el Besòs i el Maresme,36.0,8.989,6.934,1.099,28.03,25.5,24.4
el Turó de la Peira,36.0,5.899,4.673,-0.164,27.61,15.36,15.52
Sant Antoni,36.0,13.488,10.556,0.362,27.49,41.83,41.47
el Fort Pienc,36.0,11.299,8.558,0.656,26.96,32.56,31.9
Ciutat Meridiana,36.0,5.64,3.957,-0.32,26.17,12.33,12.65
el Putxet i el Farró,36.0,15.399,10.565,2.125,25.86,40.53,38.4
Horta,36.0,9.999,7.66,2.404,25.79,28.19,25.79
Sants,36.0,22.497,13.988,5.861,25.16,49.14,43.28
el Baix Guinardó,36.0,5.821,4.475,-0.638,24.31,23.64,24.28
el Carmel,36.0,14.241,10.058,5.618,23.92,37.0,31.38
la Marina de Port,36.0,13.974,9.955,4.372,23.58,36.97,32.6
el Poble Sec,36.0,14.355,9.861,3.446,18.47,46.67,43.22
