Mes,n,rmse,mae,sesgo,mape,real_medio,pred_medio
1,204.0,13.46,7.608,-0.032,32.98,26.97,27.0
2,204.0,11.004,7.143,2.162,26.75,29.01,26.85
3,204.0,12.427,8.351,3.378,25.65,32.03,28.65
4,204.0,11.5,8.514,-1.319,36.59,26.28,27.6
5,204.0,11.349,7.798,0.016,32.48,29.72,29.7
6,204.0,14.432,9.244,4.904,30.27,35.0,30.09
7,204.0,25.539,11.598,7.607,31.89,39.05,31.45
8,204.0,9.783,5.922,-1.852,46.74,9.75,11.61
9,204.0,15.054,9.913,-3.705,56.82,20.91,24.62
10,204.0,21.907,15.831,-0.593,83.73,24.33,24.93
11,204.0,13.69,7.837,3.428,26.06,29.04,25.61
12,204.0,20.412,11.328,8.679,28.08,36.42,27.74
