CUDIS,alquiler_m2,alquiler_p25,alquiler_p75,num_testigos,distrito,transacciones_totales,transacciones_medias,num_barrios,transacciones_por_testigo,pearson_r,pearson_p,spearman_r,spearman_p
801901,15.554292929292927,12.083333333333334,19.73908857509628,9318.0,Ciutat Vella,1540,32.083333333333336,4,0.16527151749302427,-0.0699,0.8479,-0.2727,0.4458
801902,14.265985772357723,11.695324074074074,17.303571428571427,26768.0,Eixample,4425,61.458333333333336,6,0.16530932456664674,-0.0699,0.8479,-0.2727,0.4458
801903,13.497991967871485,11.03896103896104,16.25,15696.0,Sants-Montjuïc,2703,28.15625,8,0.17220948012232415,-0.0699,0.8479,-0.2727,0.4458
801904,14.911042311661506,12.433076272619651,17.80158123058271,7421.0,Les Corts,1196,33.22222222222222,3,0.16116426357633742,-0.0699,0.8479,-0.2727,0.4458
801905,15.384615384615385,12.401580571100588,18.836786594550187,13567.0,Sarrià-Sant Gervasi,2480,34.44444444444444,6,0.18279649148669566,-0.0699,0.8479,-0.2727,0.4458
801906,14.387837837837838,11.645637254901962,17.58343137254902,13252.0,Gràcia,1649,27.483333333333334,5,0.12443404769091458,-0.0699,0.8479,-0.2727,0.4458
801907,12.672413793103447,10.465116279069766,15.0,14556.0,Horta-Guinardó,2091,17.425,10,0.14365210222588623,-0.0699,0.8479,-0.2727,0.4458
801908,12.027027027027026,10.0,14.280471259509719,11991.0,Nou Barris,1916,15.966666666666667,10,0.1597865065465766,-0.0699,0.8479,-0.2727,0.4458
801909,12.311703530844156,10.215938440860215,14.645895061728396,10367.0,Sant Andreu,1918,26.63888888888889,6,0.1850101282916948,-0.0699,0.8479,-0.2727,0.4458
801910,13.34871794871795,10.869565217391305,16.489166666666666,17936.0,Sant Martí,3291,27.425,10,0.183485727029438,-0.0699,0.8479,-0.2727,0.4458
